,artist,artist_pop,artist_id,song,song_pop,song_duration_ms,song_id
174,Poeta Callejero,47,1m82A2YUjBaQnLAFi9vjJv,Capea El Dough 2k17,33,370337,3SOY1DKorxsNPreFiuPwZ1
175,Poeta Callejero,47,1m82A2YUjBaQnLAFi9vjJv,Bonita Bonita,33,202960,1fktqEnilKuUGqyFy1UkyJ
176,Poeta Callejero,47,1m82A2YUjBaQnLAFi9vjJv,litEral viEja,31,172216,54s44Bp3oszvCBHp8HpdLK
177,Poeta Callejero,47,1m82A2YUjBaQnLAFi9vjJv,Historia De Amor,29,251506,7FRmRaAFikqgemdqJ1mCV4
178,Poeta Callejero,47,1m82A2YUjBaQnLAFi9vjJv,Contigo Aprendí,29,225906,30IyCkSwdkspai8HijmAQN
179,Poeta Callejero,47,1m82A2YUjBaQnLAFi9vjJv,Cuando Me Muera,28,244526,6tEC6pjuQBtPY3mHBvRUnt
180,Rochy RD,56,4riOEaOW5hCeqomFDBk0aP,Trucho,57,152796,6v3uWYfmamDBjB9gylwDwl
181,Rochy RD,56,4riOEaOW5hCeqomFDBk0aP,Ella Es Calle,51,224853,04xO5tBqr6XYdauPIsLWTC
182,Rochy RD,56,4riOEaOW5hCeqomFDBk0aP,Coronao,49,219180,1Rt9KDQJsHZcUnaVv5Qili
183,Rochy RD,56,4riOEaOW5hCeqomFDBk0aP,Haciendo Dinero (En La Mia),48,230053,7azK5cwtA3F9YsNtHUITEf
184,Rochy RD,56,4riOEaOW5hCeqomFDBk0aP,Pal' De Peso,46,205600,6RGY7WKvKnUUHYzSAtPXyI
185,Rochy RD,56,4riOEaOW5hCeqomFDBk0aP,La Pampara,46,227000,5CMYuOwdkbwCGz9QY1nII6
186,Rochy RD,56,4riOEaOW5hCeqomFDBk0aP,Llegó El Cuco,46,230028,2fkQCc98rU6m6aIg5kMe2U
187,Rochy RD,56,4riOEaOW5hCeqomFDBk0aP,Sistema De Gangster,45,261866,4ypv7dnKGGMsMuFevN1OE7
188,Rochy RD,56,4riOEaOW5hCeqomFDBk0aP,El Celular,45,212506,0BRDTOOPHuKPvLx5j9qsAB
189,Rochy RD,56,4riOEaOW5hCeqomFDBk0aP,El Comienzo,44,215986,1QykCyOIFbZdZEiLq8gin1
190,Kiko el Crazy,56,3NpG6SsHaQETkdQVZH6V1E,Mueve la Cadera,65,195250,5uAe6AXcN2SEOcOAy0Txkh
191,Kiko el Crazy,56,3NpG6SsHaQETkdQVZH6V1E,Baje Con Trenzas,49,155533,1UliaPFNVIA9f3ocnwJmx3
192,Kiko el Crazy,56,3NpG6SsHaQETkdQVZH6V1E,Baje Con Trenza - Remix,47,207804,16mjWUaQ4MjErG3LiD4jlD
193,Kiko el Crazy,56,3NpG6SsHaQETkdQVZH6V1E,Bajale,46,157629,0s3WYLJg1fLQVc5jvoC5jr
194,Kiko el Crazy,56,3NpG6SsHaQETkdQVZH6V1E,Pasate - Remix,44,193394,3X07aZDNVHZAqRevgAJtdd
